"customer_id";"customer_name";"email";"city";"signup_date"
1;"Amit Sharma";"amit@gmail.com";"Delhi";"2023-01-10"
2;"Riya Verma";"riya@gmail.com";"Mumbai";"2023-01-15"
3;"Rahul Mehta";"rahul@gmail.com";"Bangalore";"2023-02-01"
4;"Sneha Iyer";"sneha@gmail.com";"Chennai";"2023-02-10"
5;"Arjun Singh";"arjun@gmail.com";"Pune";"2023-03-05"
6;"Neha Gupta";"neha@gmail.com";"Delhi";"2023-03-18"
7;"Vikas Rao";"vikas@gmail.com";"Hyderabad";"2023-04-02"
8;"Priya Nair";"priya@gmail.com";"Kochi";"2023-04-15"
9;"Karan Malhotra";"karan@gmail.com";"Delhi";"2023-05-01"
10;"Anjali Patel";"anjali@gmail.com";"Ahmedabad";"2023-05-10"
